DeSO.1,Kon,UtlBakgrund,values,Year
0123C1100,Totalt,Svensk,1590,2019
0123C1100,Totalt,Utländsk,675,2019
0123C1110,Kvinnor,Svensk,767,2019
0123C1110,Kvinnor,Utländsk,247,2019
0123C1110,Män,Svensk,836,2019
0123C1110,Män,Utländsk,263,2019
0123C1110,Totalt,Svensk,1603,2019
0123C1110,Totalt,Utländsk,510,2019
0123C1120,Kvinnor,Svensk,647,2019
0123C1120,Kvinnor,Utländsk,238,2019
0123C1120,Män,Svensk,737,2019
0123C1120,Män,Utländsk,240,2019
0123C1120,Totalt,Svensk,1384,2019
0123C1120,Totalt,Utländsk,478,2019
0123C1130,Kvinnor,Svensk,120,2019
0123C1130,Kvinnor,Utländsk,653,2019
0123C1130,Män,Svensk,125,2019
0123C1130,Män,Utländsk,679,2019
0123C1130,Totalt,Svensk,245,2019
0123C1130,Totalt,Utländsk,1332,2019
0123C1140,Kvinnor,Svensk,753,2019
0123C1140,Kvinnor,Utländsk,1134,2019
0123C1140,Män,Svensk,817,2019
0123C1140,Män,Utländsk,1194,2019
0123C1140,Totalt,Svensk,1570,2019
0123C1140,Totalt,Utländsk,2328,2019
0123C1150,Kvinnor,Svensk,652,2019
0123C1150,Kvinnor,Utländsk,466,2019
0123C1150,Män,Svensk,605,2019
0123C1150,Män,Utländsk,453,2019
0123C1150,Totalt,Svensk,1257,2019
0123C1150,Totalt,Utländsk,919,2019
0123C1160,Kvinnor,Svensk,267,2019
0123C1160,Kvinnor,Utländsk,612,2019
0123C1160,Män,Svensk,314,2019
0123C1160,Män,Utländsk,725,2019
0123C1160,Totalt,Svensk,581,2019
0123C1160,Totalt,Utländsk,1337,2019
0123C1170,Kvinnor,Svensk,56,2019
0123C1170,Kvinnor,Utländsk,538,2019
0123C1170,Män,Svensk,86,2019
0123C1170,Män,Utländsk,539,2019
0123C1170,Totalt,Svensk,142,2019
0123C1170,Totalt,Utländsk,1077,2019
0123C1180,Kvinnor,Svensk,662,2019
